group,ticker,fold,k,DirAcc,RMSE,naive,edge
VALIDATION (unseen),BA,2022,12,0.5219123505976095,0.03110498998370352,0.5099601593625498,1.195219123505975
VALIDATION (unseen),BA,2022,15,0.50199203187251,0.03097240406541675,0.5099601593625498,-0.7968127490039834
VALIDATION (unseen),BA,2023,5,0.552,0.017103873194953115,0.54,1.200000000000001
VALIDATION (unseen),BA,2023,8,0.56,0.01706554587919034,0.54,2.0000000000000018
VALIDATION (unseen),BA,2023,10,0.588,0.017042950264773996,0.54,4.799999999999994
VALIDATION (unseen),BA,2023,12,0.58,0.0170692192798459,0.54,3.9999999999999925
VALIDATION (unseen),BA,2023,15,0.552,0.017157125930312093,0.54,1.200000000000001
VALIDATION (unseen),BA,2024,5,0.49800796812749004,0.022112827298799025,0.47808764940239046,1.9920318725099584
VALIDATION (unseen),BA,2024,8,0.47410358565737054,0.02185266246929806,0.47808764940239046,-0.3984063745019917
VALIDATION (unseen),BA,2024,10,0.47410358565737054,0.021893867055508512,0.47808764940239046,-0.3984063745019917
